,V1,V2,V3,,
792,1130,100,83.11897106,,
793,1120,0.01,84.7266881,,
794,1120,0.03,84.7266881,,
795,1120,0.1,83.11897106,,
796,1120,0.3,84.24437299,,
797,1120,1,84.5659164,,
798,1120,3,84.40514469,,
799,1120,10,84.24437299,,
800,1120,30,83.92282958,,
801,1120,100,84.88745981,,
802,1110,0.01,84.40514469,,
803,1110,0.03,83.44051447,,
804,1110,0.1,84.88745981,,
805,1110,0.3,83.76205788,,
806,1110,1,84.40514469,,
807,1110,3,84.24437299,,
808,1110,10,82.95819936,,
809,1110,30,85.20900322,,
810,1110,100,85.69131833,,
811,1100,0.01,85.85209003,,
812,1100,0.03,82.79742765,,
813,1100,0.1,83.92282958,,
814,1100,0.3,84.5659164,,
815,1100,1,84.08360129,,
816,1100,3,84.7266881,,
817,1100,10,83.76205788,,
818,1100,30,83.27974277,,
819,1100,100,85.20900322,,
820,1090,0.01,84.5659164,,
821,1090,0.03,83.11897106,,
822,1090,0.1,83.92282958,,
823,1090,0.3,82.63665595,,
824,1090,1,82.31511254,,
825,1090,3,85.85209003,,
826,1090,10,84.08360129,,
827,1090,30,84.08360129,,
828,1090,100,82.63665595,,
829,1080,0.01,85.04823151,,
830,1080,0.03,85.20900322,,
831,1080,0.1,84.5659164,,
832,1080,0.3,84.88745981,,
833,1080,1,86.01286174,,
834,1080,3,84.88745981,,
835,1080,10,84.08360129,,
836,1080,30,83.60128617,,
837,1080,100,85.53054662,,
838,1070,0.01,83.76205788,,
839,1070,0.03,86.49517685,,
840,1070,0.1,85.04823151,,
841,1070,0.3,84.7266881,,
842,1070,1,84.08360129,,
843,1070,3,84.7266881,,
844,1070,10,84.88745981,,
845,1070,30,85.20900322,,
846,1070,100,84.08360129,,
847,1060,0.01,84.7266881,,
848,1060,0.03,85.69131833,,
849,1060,0.1,85.20900322,,
850,1060,0.3,83.92282958,,
851,1060,1,85.69131833,,
852,1060,3,84.24437299,,
853,1060,10,84.7266881,,
854,1060,30,84.7266881,,
855,1060,100,83.76205788,,
856,1050,0.01,85.20900322,,
857,1050,0.03,85.20900322,,
858,1050,0.1,85.53054662,,
859,1050,0.3,85.04823151,,
860,1050,1,84.40514469,,
861,1050,3,85.20900322,,
862,1050,10,86.65594855,,
863,1050,30,84.7266881,,
864,1050,100,83.76205788,,
865,1040,0.01,85.69131833,,
866,1040,0.03,84.08360129,,
867,1040,0.1,84.5659164,,
868,1040,0.3,86.33440514,,
869,1040,1,84.7266881,,
870,1040,3,84.7266881,,
871,1040,10,85.36977492,,
872,1040,30,84.40514469,,
873,1040,100,85.85209003,,
874,1030,0.01,84.5659164,,
875,1030,0.03,84.7266881,,
876,1030,0.1,84.24437299,,
877,1030,0.3,85.20900322,,
